HGT	THETA		MIX	u	v
52	293.2911	12.1450	0.0000	5.4
57	293.3330	12.0066	0.0000	5.8
61	293.4837	11.9451	0.0000	6.2
66	293.7261	12.1043	0.0000	6.6
71	293.7682	11.9629	0.0000	7.0
76	293.8187	11.9703	0.0000	7.4
81	293.8693	11.8299	0.0000	7.8
85	293.9114	11.8360	0.0000	8.3
89	294.0455	11.9165	0.0000	8.7
92	293.9704	11.8446	0.0000	9.1
95	294.0042	11.8496	0.0000	9.6
99	294.1384	11.7810	0.0000	10.0
102	294.1807	11.7871	0.0000	10.4
106	294.1141	11.7172	0.0000	10.8
110	294.1395	11.7209	0.0000	11.2
114	294.2821	11.8018	0.0000	11.6
118	294.4333	11.8844	0.0000	12.0
122	294.4759	11.7401	0.0000	12.3
127	294.4094	11.6706	0.0000	12.7
132	294.5607	11.7524	0.0000	13.0
137	294.6117	11.7597	0.0000	13.4
143	294.5707	11.6938	0.0000	13.7
149	294.5298	11.6282	0.0000	14.0
155	294.5894	11.6367	0.0000	14.3
160	294.6405	11.6440	0.0000	14.6
165	294.6831	11.6501	0.0000	14.9
170	294.7258	11.6562	0.0000	15.2
175	294.6762	11.7381	0.0000	15.5
182	294.6354	11.6722	0.0000	15.7
188	294.6029	11.7547	0.0000	16.0
195	294.5708	11.6899	0.0000	16.3
201	294.6307	11.6985	0.0000	16.5
207	294.6823	11.5595	0.0000	16.8
213	294.7335	11.7132	0.0000	17.0
218	294.6928	11.6473	0.0000	17.3
222	294.6351	11.5793	0.0000	17.5
227	294.6691	11.7290	0.0000	17.7
232	294.7207	11.7364	0.0000	17.9
238	294.7808	11.7451	0.0000	18.1
243	294.7400	11.8231	0.0000	18.3
249	294.6823	11.7540	0.0000	18.5
254	294.7340	11.7615	0.0000	18.7
260	294.6849	11.6939	0.0000	18.8
265	294.7453	11.7025	0.0000	19.0
271	294.6963	11.6353	0.0000	19.1
276	294.7484	11.5007	0.0000	19.3
281	294.8003	11.5080	0.0000	19.4
287	295.0542	11.5196	0.0000	19.5
292	295.2071	11.6009	0.0000	19.6
299	295.0660	11.4620	0.0000	19.8
305	295.0341	11.5410	0.0000	19.9
312	295.1962	11.4803	0.0000	20.0
318	295.2657	11.4901	0.0000	20.1
324	295.3179	11.4974	0.0000	20.2
330	295.2692	11.4314	0.0000	20.2
335	295.3215	11.4387	0.0000	20.3
340	295.3738	11.4460	0.0000	20.4
346	295.4174	11.4521	0.0000	20.5
351	295.4786	11.4607	0.0000	20.6
357	295.5402	11.3259	0.0000	20.7
363	295.5927	11.3332	0.0000	20.7
369	295.6540	11.3417	0.0000	20.8
375	295.6055	11.2765	0.0000	20.9
380	295.6581	11.2837	0.0000	21.0
385	295.7019	11.2898	0.0000	21.0
390	295.7546	11.2971	0.0000	21.1
396	295.7145	11.3755	0.0000	21.2
401	295.6661	11.3101	0.0000	21.3
407	295.7189	11.3174	0.0000	21.3
412	295.6705	11.2523	0.0000	21.4
418	295.7234	11.2595	0.0000	21.5
423	295.7763	11.2668	0.0000	21.5
429	295.7275	11.3419	0.0000	21.6
435	295.7804	11.3493	0.0000	21.6
440	295.7410	11.2851	0.0000	21.7
446	295.7940	11.2924	0.0000	21.8
451	295.7369	11.2261	0.0000	21.8
456	295.7900	11.2334	0.0000	21.9
461	295.8338	11.3782	0.0000	21.9
466	295.7856	11.3126	0.0000	22.0
471	295.8299	11.3187	0.0000	22.1
476	295.8832	11.3261	0.0000	22.1
481	295.8262	11.2595	0.0000	22.2
486	295.8795	11.2668	0.0000	22.2
492	295.8403	11.2029	0.0000	22.3
498	295.9026	11.2115	0.0000	22.4
504	295.8545	11.1467	0.0000	22.5
511	295.9163	11.2912	0.0000	22.5
517	295.8773	11.2271	0.0000	22.6
524	295.8471	11.1646	0.0000	22.7
530	295.9091	11.3077	0.0000	22.8
536	295.8611	11.2423	0.0000	22.8
542	295.9237	11.2509	0.0000	22.9
547	295.8669	11.1845	0.0000	23.0
553	295.9206	11.1918	0.0000	23.0
558	295.9744	11.1991	0.0000	23.1
563	296.0282	11.2065	0.0000	23.1
568	296.0641	11.2114	0.0000	23.2
573	296.0163	11.1464	0.0000	23.2
579	296.0696	11.2865	0.0000	23.3
586	296.0399	11.2235	0.0000	23.3
593	296.0102	11.1609	0.0000	23.3
599	295.9798	11.2291	0.0000	23.3
606	296.0346	11.1058	0.0000	23.4
611	296.0887	11.1132	0.0000	23.4
616	296.1338	11.1193	0.0000	23.4
621	296.0862	11.0547	0.0000	23.4
626	296.1314	11.0608	0.0000	23.4
630	296.0749	10.9953	0.0000	23.4
634	296.1110	11.0001	0.0000	23.4
639	296.1472	11.0050	0.0000	23.5
643	296.0900	11.0685	0.0000	23.5
647	296.1444	11.0758	0.0000	23.5
652	296.0781	11.1369	0.0000	23.5
657	296.1234	11.1431	0.0000	23.6
662	296.0760	11.0782	0.0000	23.6
667	296.1305	11.0855	0.0000	23.6
672	296.0831	11.0209	0.0000	23.7
677	296.1285	11.0270	0.0000	23.7
683	296.0714	11.0875	0.0000	23.8
689	296.1351	11.0961	0.0000	23.9
696	296.0962	11.1580	0.0000	23.9
704	296.0762	11.0966	0.0000	24.0
711	296.0556	11.1594	0.0000	24.0
719	296.1287	11.1693	0.0000	24.1
726	296.0814	11.1041	0.0000	24.2
732	296.0525	11.0416	0.0000	24.2
740	296.1166	11.0502	0.0000	24.3
747	296.0970	10.9892	0.0000	24.3
755	296.1696	11.1212	0.0000	24.4
762	296.1409	11.0586	0.0000	24.4
769	296.1030	10.9950	0.0000	24.4
