Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	12.296	0.0	0.734	75.256	329.075	999.129	294.613
22.289	294.704	12.201	0.0	2.236	75.145	328.831	997.397	294.485
38.624	294.724	12.098	0.0	3.863	75.022	328.566	995.521	294.346
56.337	294.745	11.988	0.0	5.624	74.886	328.281	993.49	294.195
75.543	294.768	11.868	0.0	7.531	74.736	327.973	991.292	294.032
96.365	294.793	11.757	0.0	9.603	74.684	327.694	988.912	293.855
118.938	294.82	11.653	0.0	11.722	74.731	327.442	986.338	293.663
143.406	294.85	11.588	0.0	13.519	75.078	327.306	983.553	293.455
169.928	294.882	11.537	0.0	14.998	75.583	327.216	980.541	293.23
198.671	294.916	11.484	0.0	15.759	76.156	327.127	977.285	292.985
229.818	294.954	11.426	0.0	16.121	76.773	327.028	973.767	292.721
263.563	294.994	11.337	0.0	17.463	77.272	326.844	969.966	292.434
300.116	295.038	11.256	0.0	18.661	77.92	326.689	965.862	292.123
339.706	295.086	11.169	0.0	19.69	78.629	326.523	961.432	291.787
382.574	295.137	11.084	0.0	20.59	79.466	326.368	956.653	291.422
428.984	295.193	10.984	0.0	21.351	80.331	326.179	951.5	291.028
479.214	295.254	10.864	0.0	21.973	81.18	325.936	945.948	290.601
533.567	295.319	10.764	0.0	22.531	82.337	325.763	939.968	290.139
592.367	295.39	10.671	0.0	23.064	83.726	325.62	933.532	289.639
655.962	295.467	10.579	0.0	23.544	85.328	325.491	926.61	289.098
724.721	295.549	10.481	0.0	24.049	87.107	325.353	919.171	288.514
799.038	295.639	10.359	0.0	24.781	88.938	325.154	911.184	287.882
879.332	295.736	10.214	0.0	26.069	90.852	324.902	902.615	287.2
966.049	295.84	10.044	0.0	27.791	92.829	324.583	893.431	286.463
1059.659	295.953	9.826	0.0	29.534	94.684	324.137	883.599	285.667
1160.659	296.075	9.559	0.0	31.201	96.387	323.558	873.085	284.808
1269.622	296.701	9.397	0.0	32.353	96.405	323.799	861.856	284.356
1387.167	297.377	8.947	0.0	32.697	93.528	323.226	849.879	283.866
1513.913	298.108	8.465	0.0	32.6	90.322	322.616	837.125	283.337
1650.519	298.898	8.01	0.0	31.172	87.404	322.15	823.564	282.764
1797.708	299.751	7.737	0.0	29.17	86.506	322.296	809.164	282.145
1956.24	300.673	7.439	0.0	27.763	85.421	322.44	793.9	281.476
2126.752	301.091	6.995	0.0	26.327	85.815	321.638	777.748	280.216
2309.827	301.541	6.485	0.0	25.394	85.509	320.669	760.693	278.862
2506.203	302.024	6.113	0.0	25.561	87.176	320.148	742.72	277.406
2716.74	302.543	5.9	0.0	24.595	91.638	320.149	723.818	275.843
2942.265	303.1	5.502	0.0	23.717	93.796	319.621	703.986	274.165
3183.601	303.697	5.094	0.0	24.553	96.121	319.097	683.23	272.365
3441.594	304.337	4.543	0.0	25.764	95.753	318.163	661.567	270.436
3717.102	305.021	3.973	0.0	28.371	94.485	317.2	639.02	268.371
4010.894	305.753	2.888	0.0	30.908	78.367	314.654	615.628	266.162
4323.705	306.534	1.674	0.0	31.17	52.447	311.72	591.443	263.802
4656.747	307.368	1.603	0.0	30.647	58.798	312.394	566.502	261.282
4969.985	308.154	1.334	0.0	27.366	57.02	312.382	543.75	258.899
5152.748	308.614	1.369	0.0	26.534	64.136	312.985	530.76	257.499
5240.321	311.95	1.987	0.0	27.356	78.452	318.333	524.688	259.428
5437.147	313.081	1.905	0.0	30.835	79.347	319.244	511.389	258.465
5797.222	314.602	1.667	0.0	34.239	79.8	320.063	487.719	256.226
6229.474	316.272	1.424	0.0	36.162	81.956	321.007	460.414	253.378
6688.658	317.773	1.197	0.0	38.444	86.155	321.82	432.755	250.112
7175.88	319.256	0.928	0.0	39.901	86.296	322.452	404.849	246.537
7692.458	320.739	0.665	0.0	40.975	82.688	323.073	376.815	242.653
8239.927	322.235	0.46	0.0	41.887	79.415	323.882	348.77	238.454
8819.907	323.56	0.288	0.0	42.688	73.412	324.617	320.836	233.788
9434.222	324.786	0.184	0.0	43.278	73.419	325.478	293.135	228.694
10085.108	325.851	0.112	0.0	42.496	75.399	326.283	265.788	223.11
10775.328	326.782	0.053	0.0	41.298	66.108	326.993	238.912	217.032
11510.057	328.994	0.023	0.0	41.929	52.939	329.089	212.621	211.339
12302.921	336.986	0.011	0.0	43.527	30.95	337.032	187.029	208.681
13198.665	367.521	0.007	0.0	27.37	5.049	367.553	162.236	218.524
14214.121	376.849	0.003	0.0	10.479	3.029	376.862	138.325	214.086
15357.498	395.514	0.0	0.0	23.604	0.0	395.514	115.367	213.33
16707.209	432.293	0.0	0.0	17.416	0.0	432.293	93.417	219.517
18341.748	459.69	0.0	0.0	13.719	0.0	459.69	72.52	217.13
20387.473	497.353	0.0	0.0	15.287	0.0	497.353	52.705	214.436
23221.131	564.239	0.0	0.0	7.783	0.0	564.239	33.989	214.603
