Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	12.296	0.0	0.734	75.256	329.075	999.129	294.613
22.289	294.704	12.201	0.0	2.236	75.145	328.831	997.397	294.485
38.624	294.724	12.098	0.0	3.863	75.022	328.566	995.521	294.346
56.337	294.745	11.988	0.0	5.624	74.886	328.281	993.49	294.195
75.543	294.768	11.868	0.0	7.531	74.736	327.973	991.292	294.032
96.365	294.793	11.757	0.0	9.603	74.684	327.694	988.912	293.855
118.938	294.82	11.653	0.0	11.722	74.731	327.442	986.338	293.663
143.406	294.85	11.588	0.0	13.519	75.078	327.306	983.553	293.455
169.928	294.882	11.537	0.0	14.998	75.583	327.216	980.541	293.23
198.671	294.916	11.484	0.0	15.759	76.156	327.127	977.285	292.985
229.818	294.954	11.426	0.0	16.121	76.773	327.028	973.767	292.721
263.563	294.994	11.337	0.0	17.463	77.272	326.844	969.966	292.434
300.116	295.038	11.256	0.0	18.661	77.92	326.689	965.862	292.123
339.706	295.086	11.169	0.0	19.69	78.629	326.523	961.432	291.787
382.574	295.137	11.084	0.0	20.59	79.466	326.368	956.653	291.422
428.984	295.193	10.984	0.0	21.351	80.331	326.179	951.5	291.028
479.214	295.254	10.864	0.0	21.973	81.18	325.936	945.948	290.601
533.567	295.319	10.764	0.0	22.531	82.337	325.763	939.968	290.139
592.367	295.39	10.671	0.0	23.064	83.726	325.62	933.532	289.639
655.962	295.467	10.579	0.0	23.544	85.328	325.491	926.61	289.098
724.721	295.549	10.481	0.0	24.049	87.107	325.353	919.171	288.514
799.038	295.639	10.359	0.0	24.781	88.938	325.154	911.184	287.882
879.332	295.736	10.214	0.0	26.069	90.852	324.902	902.615	287.2
966.049	295.84	10.044	0.0	27.791	92.829	324.583	893.431	286.463
1059.659	295.953	9.826	0.0	29.534	94.684	324.137	883.599	285.667
1160.659	296.075	9.559	0.0	31.201	96.387	323.558	873.085	284.808
1269.622	296.701	9.397	0.0	32.353	96.405	323.799	861.856	284.356
1387.167	297.377	8.947	0.0	32.697	93.528	323.226	849.879	283.866
1513.913	298.108	8.465	0.0	32.6	90.322	322.616	837.125	283.337
1650.519	298.898	8.01	0.0	31.172	87.404	322.15	823.564	282.764
1797.708	299.751	7.737	0.0	29.17	86.506	322.296	809.164	282.145
1956.24	300.673	7.439	0.0	27.763	85.421	322.44	793.9	281.476
2126.752	300.882	6.901	0.0	26.327	85.815	321.144	777.748	280.022
2309.827	301.107	6.305	0.0	25.394	85.509	319.687	760.693	278.46
2506.203	301.348	5.849	0.0	25.561	87.176	318.668	742.72	276.785
2716.74	301.607	5.548	0.0	24.595	91.638	318.136	723.818	274.989
2942.265	301.884	5.078	0.0	23.717	93.796	317.101	703.986	273.065
3183.601	302.181	4.606	0.0	24.553	96.121	316.075	683.23	271.005
3441.594	302.499	4.018	0.0	25.764	95.753	314.696	661.567	268.803
3717.102	302.839	3.43	0.0	28.371	94.485	313.326	639.02	266.451
4010.894	303.202	2.428	0.0	30.908	78.367	310.67	615.628	263.942
4323.705	303.589	1.367	0.0	31.17	52.447	307.821	591.443	261.268
4656.747	304.002	1.269	0.0	30.647	58.798	307.976	566.502	258.421
4969.985	304.39	1.025	0.0	27.366	57.02	307.635	543.75	255.737
5152.748	304.617	1.034	0.0	26.534	64.136	307.911	530.76	254.164
5240.321	307.95	1.508	0.0	27.356	78.452	312.782	524.688	256.102
5437.147	309.081	1.445	0.0	30.835	79.347	313.746	511.389	255.163
5797.222	310.602	1.263	0.0	34.239	79.8	314.73	487.719	252.968
6229.474	312.272	1.076	0.0	36.162	81.956	315.843	460.414	250.174
6688.658	313.773	0.902	0.0	38.444	86.155	316.817	432.755	246.964
7175.88	315.256	0.697	0.0	39.901	86.296	317.651	404.849	243.448
7692.458	316.739	0.497	0.0	40.975	82.688	318.482	376.815	239.626
8239.927	318.235	0.342	0.0	41.887	79.415	319.459	348.77	235.494
8819.907	319.56	0.213	0.0	42.688	73.412	320.34	320.836	230.898
9434.222	320.786	0.135	0.0	43.278	73.419	321.293	293.135	225.878
10085.108	321.851	0.081	0.0	42.496	75.399	322.165	265.788	220.371
10775.328	322.782	0.038	0.0	41.298	66.108	322.934	238.912	214.375
11510.057	324.994	0.017	0.0	41.929	52.939	325.062	212.621	208.77
12302.921	332.986	0.008	0.0	43.527	30.95	333.019	187.029	206.204
13198.665	363.521	0.005	0.0	27.37	5.049	363.545	162.236	216.145
14214.121	372.849	0.002	0.0	10.479	3.029	372.859	138.325	211.814
15357.498	391.514	0.0	0.0	23.604	0.0	391.514	115.367	211.172
16707.209	428.293	0.0	0.0	17.416	0.0	428.293	93.417	217.486
18341.748	455.69	0.0	0.0	13.719	0.0	455.69	72.52	215.241
20387.473	493.353	0.0	0.0	15.287	0.0	493.353	52.705	212.712
23221.131	560.239	0.0	0.0	7.783	0.0	560.239	33.989	213.081
