Height	theta	q	u	v
4020.071	307.239	3.146	0.0	36.263
4026.214	307.254	3.115	0.0	36.3
4032.386	307.27	3.084	0.0	36.337
4044.814	307.301	3.018	0.0	36.412
4051.086	307.316	2.985	0.0	36.449
4057.371	307.332	2.954	0.0	36.487
4063.671	307.348	2.922	0.0	36.525
4069.986	307.364	2.89	0.0	36.563
4076.314	307.38	2.858	0.0	36.601
4082.657	307.396	2.828	0.0	36.639
4089.014	307.412	2.801	0.0	36.677
4095.4	307.428	2.773	0.0	36.715
4101.786	307.444	2.742	0.0	36.753
4108.171	307.46	2.709	0.0	36.792
4114.571	307.476	2.676	0.0	36.83
4120.971	307.492	2.643	0.0	36.868
4127.386	307.508	2.611	0.0	36.907
4140.229	307.54	2.546	0.0	36.984
4146.657	307.556	2.516	0.0	37.023
4153.071	307.572	2.486	0.0	37.061
4159.486	307.588	2.459	0.0	37.1
4165.871	307.604	2.436	0.0	37.138
4172.243	307.62	2.416	0.0	37.176
4178.614	307.636	2.395	0.0	37.214
4184.957	307.652	2.368	0.0	37.252
4191.286	307.668	2.338	0.0	37.29
4197.614	307.684	2.306	0.0	37.328
4203.929	307.7	2.275	0.0	37.366
4210.229	307.716	2.245	0.0	37.404
4216.543	307.731	2.217	0.0	37.442
4222.857	307.747	2.193	0.0	37.48
4235.529	307.779	2.149	0.0	37.556
4241.9	307.795	2.128	0.0	37.594
4248.271	307.811	2.105	0.0	37.632
4254.629	307.827	2.082	0.0	37.67
4261.0	307.843	2.058	0.0	37.709
4267.357	307.859	2.034	0.0	37.747
4273.714	307.875	2.012	0.0	37.785
4280.057	307.891	1.99	0.0	37.823
4286.4	307.907	1.968	0.0	37.861
4292.743	307.923	1.948	0.0	37.899
4299.057	307.939	1.927	0.0	37.937
4305.357	307.954	1.906	0.0	37.975
4311.629	307.97	1.885	0.0	38.012
4317.871	307.986	1.865	0.0	38.05
4330.3	308.017	1.829	0.0	38.124
4336.486	308.033	1.812	0.0	38.162
4342.657	308.048	1.795	0.0	38.199
4348.8	308.063	1.779	0.0	38.235
4354.929	308.079	1.764	0.0	38.272
4361.043	308.094	1.75	0.0	38.309
4367.143	308.11	1.738	0.0	38.345
4373.243	308.125	1.728	0.0	38.382
4379.357	308.14	1.719	0.0	38.419
4385.486	308.156	1.71	0.0	38.456
4391.614	308.171	1.704	0.0	38.492
4397.757	308.187	1.701	0.0	38.529
4403.9	308.202	1.7	0.0	38.566
4410.057	308.217	1.698	0.0	38.603
4422.357	308.248	1.692	0.0	38.677
4428.5	308.264	1.694	0.0	38.714
4434.629	308.279	1.702	0.0	38.75
4440.729	308.295	1.709	0.0	38.787
4446.814	308.31	1.714	0.0	38.824
4452.886	308.325	1.719	0.0	38.86
4458.929	308.34	1.725	0.0	38.896
4464.957	308.355	1.73	0.0	38.932
4470.957	308.371	1.734	0.0	38.968
4476.929	308.386	1.737	0.0	39.004
4482.871	308.4	1.741	0.0	39.04
4488.786	308.415	1.744	0.0	39.075
4494.686	308.43	1.748	0.0	39.111
4500.571	308.445	1.756	0.0	39.146
4512.343	308.475	1.772	0.0	39.217
4518.243	308.489	1.774	0.0	39.252
4524.143	308.504	1.774	0.0	39.287
4530.043	308.519	1.777	0.0	39.323
4535.943	308.534	1.781	0.0	39.358
4541.857	308.549	1.786	0.0	39.394
4547.771	308.564	1.791	0.0	39.429
4553.686	308.579	1.795	0.0	39.465
4559.6	308.594	1.799	0.0	39.5
4565.514	308.608	1.801	0.0	39.536
4571.414	308.623	1.804	0.0	39.571
4577.286	308.638	1.805	0.0	39.606
4583.157	308.653	1.805	0.0	39.642
4589.029	308.668	1.803	0.0	39.677
4600.771	308.697	1.802	0.0	39.747
4606.643	308.712	1.802	0.0	39.782
4612.514	308.727	1.802	0.0	39.818
4618.4	308.742	1.801	0.0	39.853
4624.271	308.756	1.799	0.0	39.888
4630.157	308.771	1.796	0.0	39.924
4636.071	308.786	1.791	0.0	39.959
4642.0	308.801	1.786	0.0	39.995
4647.957	308.816	1.781	0.0	40.03
4653.943	308.831	1.776	0.0	40.066
4659.957	308.846	1.77	0.0	40.102
4666.0	308.861	1.766	0.0	40.139
4672.1	308.877	1.763	0.0	40.175
4678.257	308.892	1.762	0.0	40.212
4690.686	308.924	1.76	0.0	40.287
4696.971	308.939	1.759	0.0	40.324
4703.3	308.955	1.757	0.0	40.362
4709.686	308.971	1.757	0.0	40.401
4716.1	308.988	1.757	0.0	40.439
4722.557	309.004	1.757	0.0	40.478
4729.043	309.02	1.758	0.0	40.517
4735.557	309.037	1.759	0.0	40.556
4742.1	309.053	1.759	0.0	40.595
4748.671	309.07	1.759	0.0	40.635
4755.271	309.086	1.759	0.0	40.674
4761.9	309.103	1.759	0.0	40.714
4768.543	309.12	1.759	0.0	40.754
4775.2	309.137	1.759	0.0	40.794
4788.529	309.17	1.757	0.0	40.874
4795.171	309.187	1.756	0.0	40.914
4801.8	309.204	1.756	0.0	40.953
4808.386	309.22	1.756	0.0	40.993
4814.929	309.237	1.755	0.0	41.032
4821.457	309.253	1.753	0.0	41.071
4827.943	309.27	1.746	0.0	41.11
4834.414	309.286	1.739	0.0	41.149
4840.871	309.302	1.734	0.0	41.188
4847.314	309.318	1.729	0.0	41.227
4853.757	309.335	1.72	0.0	41.265
4860.186	309.351	1.707	0.0	41.304
4866.614	309.367	1.689	0.0	41.342
4873.043	309.383	1.671	0.0	41.381
4885.914	309.416	1.635	0.0	41.458
4892.371	309.432	1.617	0.0	41.497
4898.829	309.448	1.602	0.0	41.536
4905.286	309.465	1.59	0.0	41.574
4911.714	309.481	1.578	0.0	41.613
4918.1	309.497	1.569	0.0	41.651
4924.443	309.513	1.562	0.0	41.689
4930.757	309.529	1.554	0.0	41.727
4937.043	309.545	1.541	0.0	41.765
4943.3	309.561	1.526	0.0	41.802
4949.529	309.576	1.512	0.0	41.84
4955.729	309.592	1.501	0.0	41.877
4961.9	309.608	1.491	0.0	41.914
4968.043	309.623	1.481	0.0	41.951
4980.243	309.654	1.463	0.0	42.024
4989.133	309.676	1.379	0.0	42.077
4996.267	309.694	1.378	0.0	42.12
5003.133	309.712	1.38	0.0	42.12
5009.8	309.729	1.379	0.0	42.12
5016.333	309.745	1.375	0.0	42.12
5022.667	309.761	1.371	0.0	42.12
5028.867	309.777	1.368	0.0	42.12
5034.933	309.792	1.367	0.0	42.12
5040.8	309.807	1.37	0.0	42.12
5046.533	309.821	1.373	0.0	42.12
5052.067	309.835	1.38	0.0	42.12
5057.467	309.849	1.389	0.0	42.12
5062.733	309.862	1.402	0.0	42.12
5073.0	309.888	1.431	0.0	42.12
5078.133	309.901	1.444	0.0	42.12
5083.2	309.914	1.454	0.0	42.12
5088.267	309.927	1.458	0.0	42.12
5093.2	309.939	1.462	0.0	42.12
5097.933	309.951	1.469	0.0	42.12
5102.533	309.963	1.479	0.0	42.12
5107.067	309.974	1.489	0.0	42.12
5111.467	309.985	1.496	0.0	42.12
5115.8	309.996	1.496	0.0	42.12
5120.133	310.007	1.492	0.0	42.12
5124.467	310.018	1.482	0.0	42.12
5128.8	310.029	1.473	0.0	42.12
5133.2	310.04	1.465	0.0	42.12
5141.867	310.062	1.462	0.0	42.12
5146.133	310.073	1.473	0.0	42.12
5150.333	310.084	1.497	0.0	42.12
5154.467	310.094	1.529	0.0	42.12
5158.667	310.105	1.569	0.0	42.12
5162.933	310.116	1.612	0.0	42.12
5167.267	310.127	1.655	0.0	42.12
5171.6	310.138	1.697	0.0	42.12
5175.867	310.148	1.74	0.0	42.12
5180.0	311.1	1.787	0.0	42.12
5184.0	311.344	1.837	0.0	42.12
5187.867	311.595	1.889	0.0	42.12
5191.6	311.844	1.942	0.0	42.12
5195.267	312.094	1.991	0.0	42.12
5202.467	312.59	2.084	0.0	42.12
5206.0	312.783	2.119	0.0	42.12
5209.533	312.926	2.143	0.0	42.12
5213.133	313.041	2.162	0.0	42.12
5216.667	313.13	2.175	0.0	42.12
5220.2	313.195	2.182	0.0	42.12
5223.733	313.243	2.186	0.0	42.12
5227.267	313.284	2.188	0.0	42.12
5230.933	313.327	2.193	0.0	42.12
5234.8	313.38	2.199	0.0	42.12
5238.733	313.427	2.202	0.0	42.12
5242.8	313.473	2.205	0.0	42.12
5246.933	313.521	2.206	0.0	42.12
5251.067	313.578	2.208	0.0	42.12
5259.533	313.669	2.209	0.0	42.12
5263.8	313.71	2.209	0.0	42.12
5268.067	313.752	2.211	0.0	42.12
5272.267	313.777	2.209	0.0	42.12
5276.467	313.803	2.206	0.0	42.12
5280.667	313.829	2.206	0.0	42.12
5284.867	313.846	2.204	0.0	42.12
5289.067	313.863	2.202	0.0	42.12
5293.267	313.881	2.2	0.0	42.12
5297.4	313.897	2.198	0.0	42.12
5301.6	313.914	2.197	0.0	42.12
5305.8	313.933	2.195	0.0	42.12
5310.0	313.95	2.191	0.0	42.12
5314.2	313.966	2.188	0.0	42.12
5322.467	314.007	2.183	0.0	42.12
5326.6	314.031	2.183	0.0	42.12
5330.733	314.048	2.179	0.0	42.12
5334.867	314.072	2.177	0.0	42.12
5339.0	314.097	2.174	0.0	42.12
5343.133	314.113	2.171	0.0	42.12
5347.267	314.138	2.168	0.0	42.12
5351.4	314.162	2.166	0.0	42.12
5355.467	314.187	2.164	0.0	42.12
5359.533	314.204	2.16	0.0	42.12
5363.533	314.226	2.158	0.0	42.12
5367.467	314.248	2.155	0.0	42.12
5371.4	314.27	2.155	0.0	42.12
5375.333	314.293	2.154	0.0	42.12
5383.067	314.335	2.154	0.0	42.12
5387.0	314.349	2.152	0.0	42.12
5390.933	314.372	2.151	0.0	42.12
5394.867	314.393	2.151	0.0	42.12
5398.867	314.407	2.149	0.0	42.12
5402.867	314.43	2.148	0.0	42.12
5406.933	314.446	2.145	0.0	42.12
5411.0	314.461	2.141	0.0	42.12
5415.067	314.477	2.138	0.0	42.12
5419.2	314.501	2.134	0.0	42.12
5423.333	314.526	2.13	0.0	42.12
5427.533	314.543	2.124	0.0	42.12
5431.8	314.562	2.119	0.0	42.12
5436.067	314.58	2.114	0.0	42.12
5444.867	314.603	2.099	0.0	42.12
5449.2	314.623	2.092	0.0	42.12
5453.533	314.634	2.084	0.0	42.12
5463.333	314.69	2.074	0.0	42.12
5490.133	314.816	2.053	0.0	42.12
5587.467	315.206	1.988	0.0	42.12
5850.8	316.337	1.815	0.0	42.12
6200.8	317.682	1.597	0.0	42.12
6814.6	319.68	1.264	0.0	42.12
7548.6	321.84	0.804	0.0	42.12
8351.6	324.04	0.468	0.0	42.12
9061.4	325.58	0.25	0.0	42.12
9761.2	326.9	0.17	0.0	42.12
10245.0	327.58	0.104	0.0	42.12
10969.0	328.54	0.044	0.0	42.12
11249.0	329.24	0.034	0.0	42.12
11585.6	330.9	0.024	0.0	42.12
11880.4	332.76	0.018	0.0	42.12
12178.8	336.02	0.014	0.0	40.33
12457.0	342.04	0.01	0.0	38.661
12677.0	348.8	0.008	0.0	37.341
12821.8	356.12	0.008	0.0	36.472
13016.4	363.6	0.008	0.0	35.304
13205.4	369.82	0.008	0.0	34.17
13411.0	373.3	0.01	0.0	32.937
13662.8	375.86	0.008	0.0	31.426
13884.6	376.94	0.006	0.0	30.095
14125.8	377.94	0.004	0.0	28.648
14523.2	380.14	0.0	0.0	26.263
14719.8	382.78	0.0	0.0	25.084
14939.2	386.14	0.0	0.0	23.767
15174.6	392.38	0.0	0.0	23.767
15473.6	401.22	0.0	0.0	23.767
15813.0	411.34	0.0	0.0	23.767
16095.8	420.2	0.0	0.0	23.767
16425.6	429.0	0.0	0.0	23.767
16768.0	435.54	0.0	0.0	23.767
17044.6	440.34	0.0	0.0	23.767
17251.0	443.12	0.0	0.0	23.767
17517.2	446.88	0.0	0.0	23.767
17773.2	451.12	0.0	0.0	23.767
17960.4	455.08	0.0	0.0	23.767
18370.2	462.48	0.0	0.0	23.767
18648.2	466.34	0.0	0.0	23.767
18880.2	469.22	0.0	0.0	23.767
19206.0	474.96	0.0	0.0	23.767
19585.0	482.24	0.0	0.0	23.767
19964.6	489.66	0.0	0.0	23.767
20256.8	497.38	0.0	0.0	23.767
20560.4	505.58	0.0	0.0	23.767
20761.4	510.84	0.0	0.0	23.767
21035.6	517.08	0.0	0.0	23.767
21347.8	523.94	0.0	0.0	23.767
21649.0	530.1	0.0	0.0	23.767
21973.4	536.78	0.0	0.0	23.767
22281.2	543.26	0.0	0.0	23.767
22726.4	554.98	0.0	0.0	23.767
22982.4	562.76	0.0	0.0	23.767
23222.2	570.76	0.0	0.0	23.767
23494.6	579.88	0.0	0.0	23.767
23739.4	588.16	0.0	0.0	23.767
23992.8	596.8	0.0	0.0	23.767
24186.6	603.46	0.0	0.0	23.767
24367.8	609.18	0.0	0.0	23.767
24555.6	614.26	0.0	0.0	23.767
24804.2	619.6	0.0	0.0	23.767
25034.2	623.8	0.0	0.0	23.767
25273.6	628.54	0.0	0.0	23.767
25543.0	635.32	0.0	0.0	23.767
25824.2	643.96	0.0	0.0	23.767
26349.4	664.32	0.002	0.0	23.767
26677.6	676.98	0.004	0.0	23.767
27024.8	690.0	0.006	0.0	23.767
27393.4	703.46	0.008	0.0	23.767
