Height	theta	q	u	v
1051.929	297.209	10.68	0.0	25.95
1057.214	297.222	10.672	0.0	25.994
1062.514	297.235	10.662	0.0	26.038
1067.814	297.247	10.652	0.0	26.082
1073.114	297.26	10.641	0.0	26.127
1078.4	297.273	10.63	0.0	26.171
1083.671	297.286	10.619	0.0	26.215
1088.929	297.299	10.607	0.0	26.258
1094.186	297.311	10.596	0.0	26.302
1099.443	297.324	10.585	0.0	26.346
1104.7	297.337	10.575	0.0	26.39
1115.286	297.363	10.554	0.0	26.478
1120.571	297.375	10.544	0.0	26.522
1125.871	297.388	10.533	0.0	26.566
1131.186	297.401	10.522	0.0	26.61
1136.514	297.414	10.511	0.0	26.655
1141.843	297.427	10.5	0.0	26.699
1147.186	297.44	10.489	0.0	26.744
1152.529	297.453	10.479	0.0	26.788
1157.857	297.466	10.468	0.0	26.833
1163.171	297.479	10.458	0.0	26.877
1168.471	297.492	10.448	0.0	26.921
1173.771	297.504	10.437	0.0	26.965
1179.057	297.517	10.426	0.0	27.009
1184.357	297.53	10.413	0.0	27.054
1194.971	297.556	10.387	0.0	27.142
1200.286	297.586	10.376	0.0	27.142
1205.614	297.617	10.365	0.0	27.142
1210.943	297.648	10.353	0.0	27.142
1216.257	297.679	10.342	0.0	27.142
1221.571	297.709	10.33	0.0	27.142
1226.871	297.74	10.32	0.0	27.142
1232.157	297.77	10.309	0.0	27.142
1237.429	297.801	10.3	0.0	27.142
1242.7	297.831	10.288	0.0	27.142
1247.971	297.861	10.276	0.0	27.142
1253.243	297.892	10.264	0.0	27.142
1258.514	297.922	10.251	0.0	27.142
1263.757	297.953	10.233	0.0	27.142
1274.157	298.013	10.197	0.0	27.142
1279.314	298.042	10.178	0.0	27.142
1284.457	298.072	10.157	0.0	27.142
1289.6	298.102	10.135	0.0	27.142
1294.771	298.132	10.111	0.0	27.142
1299.971	298.162	10.088	0.0	27.142
1305.2	298.192	10.066	0.0	27.142
1310.443	298.222	10.044	0.0	27.142
1315.714	298.253	10.021	0.0	27.142
1321.0	298.283	9.999	0.0	27.142
1326.3	298.314	9.977	0.0	27.142
1331.6	298.344	9.956	0.0	27.142
1336.914	298.375	9.935	0.0	27.142
1342.214	298.406	9.913	0.0	27.142
1352.786	298.467	9.871	0.0	27.142
1358.071	298.497	9.85	0.0	27.142
1363.357	298.528	9.827	0.0	27.142
1368.643	298.558	9.806	0.0	27.142
1373.929	298.589	9.783	0.0	27.142
1379.214	298.62	9.759	0.0	27.142
1384.514	298.65	9.736	0.0	27.142
1389.814	298.681	9.713	0.0	27.142
1395.129	298.712	9.691	0.0	27.142
1400.443	298.742	9.669	0.0	27.142
1405.757	298.773	9.648	0.0	27.142
1411.1	298.804	9.626	0.0	27.142
1416.443	298.835	9.605	0.0	27.142
1421.8	298.866	9.582	0.0	27.142
1432.514	298.928	9.539	0.0	27.142
1437.871	298.959	9.518	0.0	27.142
1443.214	298.99	9.495	0.0	27.142
1448.557	299.021	9.473	0.0	27.142
1453.886	299.052	9.451	0.0	27.142
1459.214	299.083	9.43	0.0	27.142
1464.529	299.113	9.409	0.0	27.142
1469.814	299.144	9.387	0.0	27.142
1475.086	299.175	9.366	0.0	27.142
1480.314	299.205	9.344	0.0	27.142
1485.529	299.235	9.321	0.0	27.142
1490.743	299.265	9.299	0.0	27.142
1495.943	299.295	9.277	0.0	27.142
1501.129	299.325	9.255	0.0	27.142
1511.457	299.385	9.212	0.0	27.142
1516.614	299.415	9.191	0.0	27.142
1521.757	299.445	9.169	0.0	27.142
1526.9	299.475	9.148	0.0	27.142
1532.029	299.505	9.127	0.0	27.142
1537.171	299.535	9.106	0.0	27.142
1542.3	299.564	9.084	0.0	27.142
1547.429	299.594	9.063	0.0	27.142
1552.543	299.624	9.045	0.0	27.142
1557.657	299.653	9.027	0.0	27.142
1562.757	299.683	9.009	0.0	27.142
1567.871	299.713	8.991	0.0	27.142
1572.971	299.742	8.973	0.0	27.142
1578.086	299.772	8.955	0.0	27.142
1588.329	299.831	8.915	0.0	27.142
