Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	12.296	0.0	0.734	75.256	329.075	999.129	294.613
22.289	294.754	12.239	0.0	2.236	75.145	328.993	997.397	294.534
38.624	294.828	12.178	0.0	3.863	75.022	328.903	995.521	294.449
56.337	294.907	12.111	0.0	5.624	74.886	328.806	993.49	294.357
75.543	294.994	12.038	0.0	7.531	74.736	328.699	991.292	294.257
96.365	295.088	11.977	0.0	9.603	74.684	328.637	988.912	294.149
118.938	295.19	11.928	0.0	11.722	74.731	328.619	986.338	294.031
143.406	295.3	11.921	0.0	13.519	75.078	328.739	983.553	293.904
169.928	295.42	11.935	0.0	14.998	75.583	328.928	980.541	293.765
198.671	295.55	11.952	0.0	15.759	76.156	329.142	977.285	293.615
229.818	295.691	11.969	0.0	16.121	76.773	329.37	973.767	293.452
263.563	295.843	11.961	0.0	17.463	77.272	329.536	969.966	293.276
300.116	296.009	11.967	0.0	18.661	77.92	329.763	965.862	293.084
339.706	296.188	11.974	0.0	19.69	78.629	330.008	961.432	292.877
382.574	296.382	11.99	0.0	20.59	79.466	330.301	956.653	292.651
428.984	296.593	12.0	0.0	21.351	80.331	330.593	951.5	292.407
479.214	296.82	11.995	0.0	21.973	81.18	330.866	945.948	292.143
533.567	297.067	12.023	0.0	22.531	82.337	331.259	939.968	291.856
592.367	297.334	12.069	0.0	23.064	83.726	331.735	933.532	291.546
655.962	297.624	12.129	0.0	23.544	85.328	332.28	926.61	291.209
724.721	297.937	12.195	0.0	24.049	87.107	332.874	919.171	290.844
799.038	298.276	12.246	0.0	24.781	88.938	333.459	911.184	290.45
879.332	298.642	12.286	0.0	26.069	90.852	334.046	902.615	290.022
966.049	299.038	12.31	0.0	27.791	92.829	334.621	893.431	289.559
1059.659	299.467	12.29	0.0	29.534	94.684	335.106	883.599	289.058
1160.659	299.929	12.224	0.0	31.201	96.387	335.491	873.085	288.516
1269.622	300.563	12.022	0.0	32.353	96.405	335.636	861.856	288.057
1387.167	301.248	11.45	0.0	32.697	93.528	334.702	849.879	287.561
1513.913	301.988	10.839	0.0	32.6	90.322	333.704	837.125	287.025
1650.519	302.789	10.262	0.0	31.172	87.404	332.879	823.564	286.445
1797.708	303.653	9.917	0.0	29.17	86.506	332.836	809.164	285.818
1956.24	304.587	9.542	0.0	27.763	85.421	332.772	793.9	285.14
2126.752	305.011	8.982	0.0	26.327	85.815	331.632	777.748	283.864
2309.827	305.466	8.338	0.0	25.394	85.509	330.266	760.693	282.492
2506.203	305.956	7.87	0.0	25.561	87.176	329.477	742.72	281.017
2716.74	306.482	7.607	0.0	24.595	91.638	329.361	723.818	279.434
2942.265	307.046	7.106	0.0	23.717	93.796	328.541	703.986	277.734
3183.601	307.651	6.592	0.0	24.553	96.121	327.716	683.23	275.91
3441.594	308.299	5.891	0.0	25.764	95.753	326.338	661.567	273.956
3717.102	308.992	5.163	0.0	28.371	94.485	324.907	639.02	271.864
4010.894	309.733	3.762	0.0	30.908	78.367	321.377	615.628	269.627
4323.705	310.524	2.186	0.0	31.17	52.447	317.315	591.443	267.236
4656.747	311.369	2.1	0.0	30.647	58.798	317.97	566.502	264.683
4969.985	312.165	1.753	0.0	27.366	57.02	317.732	543.75	262.269
5152.748	312.631	1.803	0.0	26.534	64.136	318.397	530.76	260.851
5240.321	315.95	2.599	0.0	27.356	78.452	324.324	524.688	262.755
5437.147	317.081	2.492	0.0	30.835	79.347	325.167	511.389	261.767
5797.222	318.602	2.185	0.0	34.239	79.8	325.776	487.719	259.484
6229.474	320.272	1.87	0.0	36.162	81.956	326.503	460.414	256.583
6688.658	321.773	1.577	0.0	38.444	86.155	327.114	432.755	253.26
7175.88	323.256	1.227	0.0	39.901	86.296	327.487	404.849	249.625
7692.458	324.739	0.883	0.0	40.975	82.688	327.842	376.815	245.679
8239.927	326.235	0.613	0.0	41.887	79.415	328.435	348.77	241.414
8819.907	327.56	0.387	0.0	42.688	73.412	328.98	320.836	236.678
9434.222	328.786	0.249	0.0	43.278	73.419	329.722	293.135	231.511
10085.108	329.851	0.152	0.0	42.496	75.399	330.44	265.788	225.849
10775.328	330.782	0.073	0.0	41.298	66.108	331.073	238.912	219.689
11510.057	332.994	0.032	0.0	41.929	52.939	333.127	212.621	213.909
12302.921	340.986	0.015	0.0	43.527	30.95	341.05	187.029	211.158
13198.665	371.521	0.009	0.0	27.37	5.049	371.563	162.236	220.902
14214.121	380.849	0.004	0.0	10.479	3.029	380.867	138.325	216.358
15357.498	399.514	0.0	0.0	23.604	0.0	399.514	115.367	215.487
16707.209	436.293	0.0	0.0	17.416	0.0	436.293	93.417	221.548
18341.748	463.69	0.0	0.0	13.719	0.0	463.69	72.52	219.019
20387.473	501.353	0.0	0.0	15.287	0.0	501.353	52.705	216.161
23221.131	568.239	0.0	0.0	7.783	0.0	568.239	33.989	216.124
